decision,simulation,incremental_profit_usd,roi
Servicios de regulacion,13,-16368.45,-0.5846
Hibrido certificado,13,-78056.16,-0.5575
Ventana conservadora,14,58227.07,3.2348
Arbitraje agresivo,14,-58547.24,-0.6163
Servicios de regulacion,14,-23267.67,-0.831
Hibrido certificado,14,-131156.69,-0.9368
Ventana conservadora,15,60880.55,3.3823
Arbitraje agresivo,15,27642.25,0.291
Servicios de regulacion,15,-22115.49,-0.7898
Hibrido certificado,15,-125266.14,-0.8948
Ventana conservadora,16,67789.24,3.7661
Arbitraje agresivo,16,-58017.24,-0.6107
Servicios de regulacion,16,-19693.63,-0.7033
Hibrido certificado,16,-146728.24,-1.0481
Ventana conservadora,17,44840.26,2.4911
Arbitraje agresivo,17,-69560.07,-0.7322
Servicios de regulacion,17,-3838.05,-0.1371
Hibrido certificado,17,-85168.67,-0.6083
Ventana conservadora,18,62370.29,3.465
Arbitraje agresivo,18,-23539.16,-0.2478
Servicios de regulacion,18,-28297.68,-1.0106
Hibrido certificado,18,-145813.26,-1.0415
Ventana conservadora,19,46306.19,2.5726
Arbitraje agresivo,19,-8966.75,-0.0944
Servicios de regulacion,19,-16348.27,-0.5839
Hibrido certificado,19,-32396.78,-0.2314
Ventana conservadora,20,42133.37,2.3407
Arbitraje agresivo,20,-60532.67,-0.6372
Servicios de regulacion,20,-21509.68,-0.7682
Hibrido certificado,20,-123803.72,-0.8843
Ventana conservadora,21,47996.31,2.6665
Arbitraje agresivo,21,-58248.19,-0.6131
Servicios de regulacion,21,-18197.32,-0.6499
Hibrido certificado,21,-136596.25,-0.9757
Ventana conservadora,22,48254.41,2.6808
Arbitraje agresivo,22,-74844.64,-0.7878
Servicios de regulacion,22,-21106.92,-0.7538
Hibrido certificado,22,-113887.31,-0.8135
Ventana conservadora,23,49004.48,2.7225
Arbitraje agresivo,23,-74028.34,-0.7792
Servicios de regulacion,23,-22198.89,-0.7928
Hibrido certificado,23,-86974.64,-0.6212
Ventana conservadora,24,45114.99,2.5064
Arbitraje agresivo,24,7187.7,0.0757
Servicios de regulacion,24,-23977.15,-0.8563
Hibrido certificado,24,-147873.16,-1.0562
Ventana conservadora,25,67958.82,3.7755
Arbitraje agresivo,25,-360.24,-0.0038
Servicios de regulacion,25,-20147.09,-0.7195
Hibrido certificado,25,-121674.94,-0.8691
Ventana conservadora,26,55754.0,3.0974
Arbitraje agresivo,26,72065.48,0.7586
Servicios de regulacion,26,-14957.21,-0.5342
Hibrido certificado,26,-139861.54,-0.999
Ventana conservadora,27,56530.15,3.1406
Arbitraje agresivo,27,-54536.35,-0.5741
Servicios de regulacion,27,-15652.83,-0.559
Hibrido certificado,27,-139177.35,-0.9941
Ventana conservadora,28,51206.38,2.8448
Arbitraje agresivo,28,-8030.03,-0.0845
Servicios de regulacion,28,-24576.67,-0.8777
Hibrido certificado,28,-134705.69,-0.9622
Ventana conservadora,29,45590.78,2.5328
Arbitraje agresivo,29,-61884.62,-0.6514
Servicios de regulacion,29,-16301.07,-0.5822
Hibrido certificado,29,252.33,0.0018
Ventana conservadora,30,52537.0,2.9187
Arbitraje agresivo,30,-34897.18,-0.3673
Servicios de regulacion,30,-19523.69,-0.6973
Hibrido certificado,30,-122374.41,-0.8741
Ventana conservadora,31,38818.76,2.1566
Arbitraje agresivo,31,-52403.21,-0.5516
Servicios de regulacion,31,-11144.5,-0.398
Hibrido certificado,31,-154003.16,-1.1
Ventana conservadora,32,60807.73,3.3782
Arbitraje agresivo,32,-20326.87,-0.214
Servicios de regulacion,32,-21125.41,-0.7545
Hibrido certificado,32,-113347.75,-0.8096
Ventana conservadora,33,46675.5,2.5931
Arbitraje agresivo,33,-85271.67,-0.8976
Servicios de regulacion,33,-17089.17,-0.6103
Hibrido certificado,33,-112578.67,-0.8041
Ventana conservadora,34,58653.73,3.2585
Arbitraje agresivo,34,-51985.88,-0.5472
Servicios de regulacion,34,-12319.45,-0.44
Hibrido certificado,34,-142074.34,-1.0148
Ventana conservadora,35,72933.2,4.0518
Arbitraje agresivo,35,-162.21,-0.0017
Servicios de regulacion,35,-21634.13,-0.7726
Hibrido certificado,35,-121037.51,-0.8646
Ventana conservadora,36,45946.04,2.5526
Arbitraje agresivo,36,-67465.9,-0.7102
Servicios de regulacion,36,-22716.56,-0.8113
Hibrido certificado,36,-126821.54,-0.9059
Ventana conservadora,37,61014.91,3.3897
Arbitraje agresivo,37,-8623.82,-0.0908
Servicios de regulacion,37,-25061.49,-0.8951
Hibrido certificado,37,-118922.53,-0.8494
Ventana conservadora,38,57897.15,3.2165
Arbitraje agresivo,38,-42932.75,-0.4519
Servicios de regulacion,38,-23537.37,-0.8406
Hibrido certificado,38,-164579.74,-1.1756
Ventana conservadora,39,57672.74,3.204
Arbitraje agresivo,39,-14480.72,-0.1524
Servicios de regulacion,39,-15284.53,-0.5459
Hibrido certificado,39,-175512.01,-1.2537
Ventana conservadora,40,57046.18,3.1692
Arbitraje agresivo,40,-19527.28,-0.2056
Servicios de regulacion,40,-19909.33,-0.711
Hibrido certificado,40,-135251.76,-0.9661
Ventana conservadora,41,50075.0,2.7819
Arbitraje agresivo,41,-49987.23,-0.5262
Servicios de regulacion,41,-18510.78,-0.6611
Hibrido certificado,41,-131660.0,-0.9404
Ventana conservadora,42,58419.35,3.2455
Arbitraje agresivo,42,-37535.75,-0.3951
Servicios de regulacion,42,-9359.79,-0.3343
Hibrido certificado,42,-157186.37,-1.1228
Ventana conservadora,43,61323.28,3.4068
Arbitraje agresivo,43,14756.66,0.1553
Servicios de regulacion,43,-18589.81,-0.6639
Hibrido certificado,43,-130367.52,-0.9312
Ventana conservadora,44,63864.74,3.548
Arbitraje agresivo,44,-31211.39,-0.3285
Servicios de regulacion,44,-26876.45,-0.9599
Hibrido certificado,44,-71932.37,-0.5138
Ventana conservadora,45,49171.07,2.7317
Arbitraje agresivo,45,-40718.85,-0.4286
Servicios de regulacion,45,-26473.06,-0.9455
Hibrido certificado,45,-141434.9,-1.0102
Ventana conservadora,46,67739.93,3.7633
Arbitraje agresivo,46,-53450.81,-0.5626
Servicios de regulacion,46,-21312.42,-0.7612
Hibrido certificado,46,-138912.77,-0.9922
Ventana conservadora,47,46533.07,2.5852
Arbitraje agresivo,47,-16581.88,-0.1745
Servicios de regulacion,47,-18336.33,-0.6549
Hibrido certificado,47,-161078.47,-1.1506
Ventana conservadora,48,63659.44,3.5366
Arbitraje agresivo,48,-54543.24,-0.5741
Servicios de regulacion,48,-17649.86,-0.6304
Hibrido certificado,48,-103587.48,-0.7399
Ventana conservadora,49,55362.91,3.0757
Arbitraje agresivo,49,-93166.61,-0.9807
Servicios de regulacion,49,-11114.41,-0.3969
Hibrido certificado,49,-123061.33,-0.879
Ventana conservadora,50,71047.11,3.9471
Arbitraje agresivo,50,-36951.57,-0.389
Servicios de regulacion,50,-14638.32,-0.5228
Hibrido certificado,50,-144582.56,-1.0327
Ventana conservadora,51,51696.64,2.872
Arbitraje agresivo,51,-90229.94,-0.9498
Servicios de regulacion,51,-21079.47,-0.7528
Hibrido certificado,51,-149018.51,-1.0644
Ventana conservadora,52,42278.55,2.3488
Arbitraje agresivo,52,-18018.63,-0.1897
Servicios de regulacion,52,-19453.55,-0.6948
Hibrido certificado,52,476822.04,3.4059
Ventana conservadora,53,59738.45,3.3188
Arbitraje agresivo,53,-55868.16,-0.5881
Servicios de regulacion,53,-24551.52,-0.8768
Hibrido certificado,53,-64496.03,-0.4607
Ventana conservadora,54,56781.28,3.1545
Arbitraje agresivo,54,7972.23,0.0839
Servicios de regulacion,54,-24163.82,-0.863
Hibrido certificado,54,-136545.96,-0.9753
Ventana conservadora,55,56357.99,3.131
Arbitraje agresivo,55,-54929.47,-0.5782
Servicios de regulacion,55,-19935.69,-0.712
Hibrido certificado,55,-143769.35,-1.0269
Ventana conservadora,56,66486.09,3.6937
Arbitraje agresivo,56,-32302.52,-0.34
Servicios de regulacion,56,-15881.55,-0.5672
Hibrido certificado,56,-110174.58,-0.787
Ventana conservadora,57,52302.11,2.9057
Arbitraje agresivo,57,-13933.63,-0.1467
Servicios de regulacion,57,-17244.41,-0.6159
Hibrido certificado,57,-110599.15,-0.79
Ventana conservadora,58,70391.2,3.9106
Arbitraje agresivo,58,-57046.68,-0.6005
Servicios de regulacion,58,-14373.72,-0.5133
Hibrido certificado,58,-42994.25,-0.3071
Ventana conservadora,59,50730.63,2.8184
Arbitraje agresivo,59,-94909.68,-0.999
Servicios de regulacion,59,-15304.57,-0.5466
Hibrido certificado,59,-143574.62,-1.0255
Ventana conservadora,60,64335.54,3.5742
Arbitraje agresivo,60,-52359.46,-0.5512
Servicios de regulacion,60,-28309.41,-1.0111
Hibrido certificado,60,-115980.8,-0.8284
Ventana conservadora,61,62027.75,3.446
Arbitraje agresivo,61,-44918.91,-0.4728
Servicios de regulacion,61,-14242.11,-0.5086
Hibrido certificado,61,-133541.92,-0.9539
Ventana conservadora,62,39844.2,2.2136
Arbitraje agresivo,62,-31957.04,-0.3364
Servicios de regulacion,62,-27019.6,-0.965
Hibrido certificado,62,-123601.44,-0.8829
Ventana conservadora,63,48315.38,2.6842
Arbitraje agresivo,63,-59316.16,-0.6244
Servicios de regulacion,63,-20680.68,-0.7386
Hibrido certificado,63,-96632.96,-0.6902
Ventana conservadora,64,40803.64,2.2669
Arbitraje agresivo,64,-27030.25,-0.2845
Servicios de regulacion,64,-19283.47,-0.6887
Hibrido certificado,64,-131942.2,-0.9424
Ventana conservadora,65,57802.94,3.2113
Arbitraje agresivo,65,-67365.64,-0.7091
Servicios de regulacion,65,-21357.59,-0.7628
Hibrido certificado,65,-121320.56,-0.8666
Ventana conservadora,66,52275.52,2.9042
Arbitraje agresivo,66,-22955.29,-0.2416
Servicios de regulacion,66,-16642.11,-0.5944
Hibrido certificado,66,-142424.26,-1.0173
Ventana conservadora,67,59092.68,3.2829
Arbitraje agresivo,67,-69275.93,-0.7292
Servicios de regulacion,67,-21701.91,-0.7751
Hibrido certificado,67,-35866.34,-0.2562
Ventana conservadora,68,53008.94,2.9449
Arbitraje agresivo,68,-3062.34,-0.0322
Servicios de regulacion,68,-16703.38,-0.5965
Hibrido certificado,68,-76558.72,-0.5468
Ventana conservadora,69,47277.28,2.6265
Arbitraje agresivo,69,-64513.55,-0.6791
Servicios de regulacion,69,-15570.53,-0.5561
Hibrido certificado,69,-132467.76,-0.9462
Ventana conservadora,70,55398.02,3.0777
Arbitraje agresivo,70,-44151.51,-0.4648
Servicios de regulacion,70,-19711.7,-0.704
Hibrido certificado,70,-79967.49,-0.5712
Ventana conservadora,71,53632.6,2.9796
Arbitraje agresivo,71,-5662.73,-0.0596
Servicios de regulacion,71,-16767.41,-0.5988
Hibrido certificado,71,-134185.76,-0.9585
Ventana conservadora,72,49538.3,2.7521
Arbitraje agresivo,72,-52522.98,-0.5529
Servicios de regulacion,72,-16270.48,-0.5811
Hibrido certificado,72,-108741.69,-0.7767
Ventana conservadora,73,70155.55,3.8975
Arbitraje agresivo,73,-39204.94,-0.4127
Servicios de regulacion,73,-12850.85,-0.459
Hibrido certificado,73,-134182.2,-0.9584
Ventana conservadora,74,56140.11,3.1189
Arbitraje agresivo,74,4579.4,0.0482
Servicios de regulacion,74,-23766.6,-0.8488
Hibrido certificado,74,-151044.52,-1.0789
Ventana conservadora,75,50936.37,2.8298
Arbitraje agresivo,75,-51969.76,-0.5471
Servicios de regulacion,75,-22615.18,-0.8077
Hibrido certificado,75,-3305.06,-0.0236
Ventana conservadora,76,50957.41,2.831
Arbitraje agresivo,76,-44708.43,-0.4706
Servicios de regulacion,76,-20483.59,-0.7316
Hibrido certificado,76,-94888.59,-0.6778
Ventana conservadora,77,47792.82,2.6552
Arbitraje agresivo,77,-26495.44,-0.2789
Servicios de regulacion,77,-15147.52,-0.541
Hibrido certificado,77,-124898.87,-0.8921
Ventana conservadora,78,57540.76,3.1967
Arbitraje agresivo,78,10975.31,0.1155
Servicios de regulacion,78,-14076.97,-0.5027
Hibrido certificado,78,-152465.08,-1.089
Ventana conservadora,79,71079.53,3.9489
Arbitraje agresivo,79,-17060.22,-0.1796
Servicios de regulacion,79,-24691.39,-0.8818
Hibrido certificado,79,-108566.76,-0.7755
Ventana conservadora,80,68323.29,3.7957
Arbitraje agresivo,80,-11504.95,-0.1211
Servicios de regulacion,80,-24290.13,-0.8675
Hibrido certificado,80,-75654.79,-0.5404
Ventana conservadora,81,63347.34,3.5193
Arbitraje agresivo,81,-27472.87,-0.2892
Servicios de regulacion,81,-23693.83,-0.8462
Hibrido certificado,81,-137306.12,-0.9808
Ventana conservadora,82,54149.85,3.0083
Arbitraje agresivo,82,-8822.53,-0.0929
Servicios de regulacion,82,-21553.66,-0.7698
Hibrido certificado,82,-153870.25,-1.0991
Ventana conservadora,83,47465.86,2.637
Arbitraje agresivo,83,-58997.62,-0.621
Servicios de regulacion,83,-17454.7,-0.6234
Hibrido certificado,83,-108172.84,-0.7727
Ventana conservadora,84,49667.07,2.7593
Arbitraje agresivo,84,18178.28,0.1914
Servicios de regulacion,84,-29661.19,-1.0593
Hibrido certificado,84,-160004.04,-1.1429
Ventana conservadora,85,51311.19,2.8506
Arbitraje agresivo,85,-78430.41,-0.8256
Servicios de regulacion,85,-20026.48,-0.7152
Hibrido certificado,85,-146981.11,-1.0499
Ventana conservadora,86,47446.41,2.6359
Arbitraje agresivo,86,-39043.08,-0.411
Servicios de regulacion,86,-22057.98,-0.7878
Hibrido certificado,86,-153839.82,-1.0989
Ventana conservadora,87,36732.11,2.0407
Arbitraje agresivo,87,-25939.76,-0.2731
Servicios de regulacion,87,-19858.59,-0.7092
Hibrido certificado,87,-166478.03,-1.1891
Ventana conservadora,88,61882.55,3.4379
Arbitraje agresivo,88,-33359.96,-0.3512
Servicios de regulacion,88,-27819.61,-0.9936
Hibrido certificado,88,-102661.73,-0.7333
Ventana conservadora,89,60787.16,3.3771
Arbitraje agresivo,89,-19321.17,-0.2034
Servicios de regulacion,89,-18053.87,-0.6448
Hibrido certificado,89,-125889.01,-0.8992
Ventana conservadora,90,42858.63,2.381
Arbitraje agresivo,90,-55098.4,-0.58
Servicios de regulacion,90,-12763.42,-0.4558
Hibrido certificado,90,-156747.13,-1.1196
Ventana conservadora,91,65935.74,3.6631
Arbitraje agresivo,91,42946.72,0.4521
Servicios de regulacion,91,-13737.49,-0.4906
Hibrido certificado,91,-144859.58,-1.0347
Ventana conservadora,92,56897.42,3.161
Arbitraje agresivo,92,-55961.86,-0.5891
Servicios de regulacion,92,-16609.57,-0.5932
Hibrido certificado,92,-31425.69,-0.2245
Ventana conservadora,93,53322.37,2.9624
Arbitraje agresivo,93,11673.65,0.1229
Servicios de regulacion,93,-17570.5,-0.6275
Hibrido certificado,93,-113844.38,-0.8132
Ventana conservadora,94,58101.1,3.2278
Arbitraje agresivo,94,-38458.98,-0.4048
Servicios de regulacion,94,-19286.74,-0.6888
Hibrido certificado,94,-176649.67,-1.2618
Ventana conservadora,95,73635.43,4.0909
Arbitraje agresivo,95,-20608.49,-0.2169
Servicios de regulacion,95,-25524.61,-0.9116
Hibrido certificado,95,-105144.11,-0.751
Ventana conservadora,96,40509.87,2.2505
Arbitraje agresivo,96,7435.85,0.0783
Servicios de regulacion,96,-23756.06,-0.8484
Hibrido certificado,96,-102509.99,-0.7322
Ventana conservadora,97,59742.66,3.319
Arbitraje agresivo,97,-94450.25,-0.9942
Servicios de regulacion,97,-23187.44,-0.8281
Hibrido certificado,97,-78081.29,-0.5577
Ventana conservadora,98,71339.21,3.9633
Arbitraje agresivo,98,-58646.04,-0.6173
Servicios de regulacion,98,-14690.77,-0.5247
Hibrido certificado,98,-142432.51,-1.0174
Ventana conservadora,99,51448.22,2.8582
Arbitraje agresivo,99,-41730.06,-0.4393
Servicios de regulacion,99,-14600.74,-0.5215
Hibrido certificado,99,-133715.16,-0.9551
Ventana conservadora,100,50506.61,2.8059
Arbitraje agresivo,100,-39760.25,-0.4185
Servicios de regulacion,100,-19833.73,-0.7083
Hibrido certificado,100,-122306.9,-0.8736
Ventana conservadora,101,53545.27,2.9747
Arbitraje agresivo,101,-16440.98,-0.1731
Servicios de regulacion,101,-20216.92,-0.722
Hibrido certificado,101,-37523.47,-0.268
Ventana conservadora,102,53003.23,2.9446
Arbitraje agresivo,102,-207.65,-0.0022
Servicios de regulacion,102,-16953.07,-0.6055
Hibrido certificado,102,-82920.22,-0.5923
Ventana conservadora,103,59888.76,3.3272
Arbitraje agresivo,103,-43304.31,-0.4558
Servicios de regulacion,103,-16177.52,-0.5778
Hibrido certificado,103,-136267.65,-0.9733
Ventana conservadora,104,66251.59,3.6806
Arbitraje agresivo,104,-46297.85,-0.4873
Servicios de regulacion,104,-14995.11,-0.5355
Hibrido certificado,104,-163938.5,-1.171
Ventana conservadora,105,42967.15,2.3871
Arbitraje agresivo,105,-32669.88,-0.3439
Servicios de regulacion,105,-19885.75,-0.7102
Hibrido certificado,105,-137839.47,-0.9846
Ventana conservadora,106,65632.47,3.6462
Arbitraje agresivo,106,-14035.34,-0.1477
Servicios de regulacion,106,-19528.68,-0.6975
Hibrido certificado,106,-119322.05,-0.8523
Ventana conservadora,107,59551.87,3.3084
Arbitraje agresivo,107,-50525.39,-0.5318
Servicios de regulacion,107,-19052.43,-0.6804
Hibrido certificado,107,-127549.46,-0.9111
Ventana conservadora,108,60432.35,3.3574
Arbitraje agresivo,108,-35716.81,-0.376
Servicios de regulacion,108,-17505.57,-0.6252
Hibrido certificado,108,40653.69,0.2904
Ventana conservadora,109,61404.61,3.4114
Arbitraje agresivo,109,-29785.31,-0.3135
Servicios de regulacion,109,-12270.05,-0.4382
Hibrido certificado,109,-160450.31,-1.1461
Ventana conservadora,110,68555.78,3.8087
Arbitraje agresivo,110,-78237.95,-0.8236
Servicios de regulacion,110,-5196.09,-0.1856
Hibrido certificado,110,-33544.44,-0.2396
Ventana conservadora,111,53316.12,2.962
Arbitraje agresivo,111,-54456.17,-0.5732
Servicios de regulacion,111,-22537.74,-0.8049
Hibrido certificado,111,-133528.21,-0.9538
Ventana conservadora,112,36045.57,2.0025
Arbitraje agresivo,112,-29869.52,-0.3144
Servicios de regulacion,112,-15783.59,-0.5637
Hibrido certificado,112,-136233.91,-0.9731
Ventana conservadora,113,57493.08,3.1941
Arbitraje agresivo,113,-29676.25,-0.3124
Servicios de regulacion,113,-13173.07,-0.4705
Hibrido certificado,113,-130510.05,-0.9322
Ventana conservadora,114,52343.3,2.908
Arbitraje agresivo,114,-5806.27,-0.0611
Servicios de regulacion,114,-11008.76,-0.3932
Hibrido certificado,114,-101202.25,-0.7229
Ventana conservadora,115,39120.0,2.1733
Arbitraje agresivo,115,-31149.97,-0.3279
Servicios de regulacion,115,-16428.71,-0.5867
Hibrido certificado,115,-127395.64,-0.91
Ventana conservadora,116,47279.99,2.6267
Arbitraje agresivo,116,-20441.93,-0.2152
Servicios de regulacion,116,-21072.16,-0.7526
Hibrido certificado,116,-134978.08,-0.9641
Ventana conservadora,117,50756.43,2.8198
Arbitraje agresivo,117,-14278.68,-0.1503
Servicios de regulacion,117,-20662.02,-0.7379
Hibrido certificado,117,-127920.21,-0.9137
Ventana conservadora,118,52752.39,2.9307
Arbitraje agresivo,118,-47861.29,-0.5038
Servicios de regulacion,118,-15230.69,-0.544
Hibrido certificado,118,-182264.75,-1.3019
Ventana conservadora,119,69291.74,3.8495
Arbitraje agresivo,119,-18718.49,-0.197
Servicios de regulacion,119,-25111.68,-0.8968
Hibrido certificado,119,-149164.12,-1.0655
Ventana conservadora,120,43279.98,2.4044
Arbitraje agresivo,120,-16989.78,-0.1788
Servicios de regulacion,120,-18265.18,-0.6523
Hibrido certificado,120,-86638.04,-0.6188
Ventana conservadora,121,56074.66,3.1153
Arbitraje agresivo,121,-36801.43,-0.3874
Servicios de regulacion,121,-21377.69,-0.7635
Hibrido certificado,121,-88564.28,-0.6326
Ventana conservadora,122,53032.5,2.9462
Arbitraje agresivo,122,-15075.33,-0.1587
Servicios de regulacion,122,-18103.55,-0.6466
Hibrido certificado,122,-142869.6,-1.0205
Ventana conservadora,123,51460.28,2.8589
Arbitraje agresivo,123,-68398.13,-0.72
Servicios de regulacion,123,-18652.93,-0.6662
Hibrido certificado,123,-161340.53,-1.1524
Ventana conservadora,124,56558.76,3.1422
Arbitraje agresivo,124,-17994.07,-0.1894
Servicios de regulacion,124,-22529.71,-0.8046
Hibrido certificado,124,-152953.37,-1.0925
Ventana conservadora,125,47277.38,2.6265
Arbitraje agresivo,125,-31402.46,-0.3306
Servicios de regulacion,125,-17569.52,-0.6275
Hibrido certificado,125,205703.91,1.4693
Ventana conservadora,126,62258.96,3.4588
Arbitraje agresivo,126,1433.02,0.0151
Servicios de regulacion,126,-18197.37,-0.6499
Hibrido certificado,126,-132252.41,-0.9447
Ventana conservadora,127,44447.79,2.4693
Arbitraje agresivo,127,-45073.35,-0.4745
Servicios de regulacion,127,-23662.37,-0.8451
Hibrido certificado,127,100161.28,0.7154
Ventana conservadora,128,61999.77,3.4444
Arbitraje agresivo,128,-51438.66,-0.5415
Servicios de regulacion,128,-14292.71,-0.5105
Hibrido certificado,128,-107622.52,-0.7687
Ventana conservadora,129,48933.73,2.7185
Arbitraje agresivo,129,19923.68,0.2097
Servicios de regulacion,129,-17857.07,-0.6378
Hibrido certificado,129,-124506.41,-0.8893
Ventana conservadora,130,46230.5,2.5684
Arbitraje agresivo,130,-862.33,-0.0091
Servicios de regulacion,130,-19461.32,-0.695
Hibrido certificado,130,-115558.08,-0.8254
Ventana conservadora,131,56476.66,3.1376
Arbitraje agresivo,131,-61322.82,-0.6455
Servicios de regulacion,131,-21302.29,-0.7608
Hibrido certificado,131,109620.8,0.783
Ventana conservadora,132,50937.87,2.8299
Arbitraje agresivo,132,-75117.49,-0.7907
Servicios de regulacion,132,-14891.82,-0.5319
Hibrido certificado,132,-165050.06,-1.1789
Ventana conservadora,133,60633.54,3.3685
Arbitraje agresivo,133,70682.04,0.744
Servicios de regulacion,133,-29498.86,-1.0535
Hibrido certificado,133,-145162.62,-1.0369
Ventana conservadora,134,41299.17,2.2944
Arbitraje agresivo,134,-63379.81,-0.6672
Servicios de regulacion,134,-17089.41,-0.6103
Hibrido certificado,134,-107703.94,-0.7693
Ventana conservadora,135,54199.24,3.0111
Arbitraje agresivo,135,-33428.0,-0.3519
Servicios de regulacion,135,-18176.57,-0.6492
Hibrido certificado,135,-129642.77,-0.926
Ventana conservadora,136,58396.19,3.2442
Arbitraje agresivo,136,-20947.55,-0.2205
Servicios de regulacion,136,-15263.18,-0.5451
Hibrido certificado,136,-165436.29,-1.1817
Ventana conservadora,137,51961.36,2.8867
Arbitraje agresivo,137,-34256.85,-0.3606
Servicios de regulacion,137,-16924.08,-0.6044
Hibrido certificado,137,-109652.97,-0.7832
Ventana conservadora,138,45256.19,2.5142
Arbitraje agresivo,138,-60842.95,-0.6405
Servicios de regulacion,138,-18320.08,-0.6543
Hibrido certificado,138,-101742.31,-0.7267
Ventana conservadora,139,53179.22,2.9544
Arbitraje agresivo,139,8098.89,0.0853
Servicios de regulacion,139,-18377.97,-0.6564
Hibrido certificado,139,-114495.66,-0.8178
Ventana conservadora,140,54524.4,3.0291
Arbitraje agresivo,140,-53095.45,-0.5589
Servicios de regulacion,140,-20773.32,-0.7419
Hibrido certificado,140,-147882.21,-1.0563
Ventana conservadora,141,66515.03,3.6953
Arbitraje agresivo,141,-50496.65,-0.5315
Servicios de regulacion,141,-16211.16,-0.579
Hibrido certificado,141,-63946.79,-0.4568
Ventana conservadora,142,79194.96,4.3997
Arbitraje agresivo,142,-51684.33,-0.544
Servicios de regulacion,142,-13911.85,-0.4969
Hibrido certificado,142,-48679.11,-0.3477
Ventana conservadora,143,56465.71,3.137
Arbitraje agresivo,143,-20024.12,-0.2108
Servicios de regulacion,143,-16056.95,-0.5735
Hibrido certificado,143,-140668.38,-1.0048
Ventana conservadora,144,61829.04,3.4349
Arbitraje agresivo,144,-15832.12,-0.1667
Servicios de regulacion,144,-18350.45,-0.6554
Hibrido certificado,144,449943.94,3.2139
Ventana conservadora,145,55576.57,3.0876
Arbitraje agresivo,145,-43646.49,-0.4594
Servicios de regulacion,145,-14934.0,-0.5334
Hibrido certificado,145,-141280.1,-1.0091
Ventana conservadora,146,55219.73,3.0678
Arbitraje agresivo,146,-42868.11,-0.4512
Servicios de regulacion,146,-25862.19,-0.9236
Hibrido certificado,146,-91104.26,-0.6507
Ventana conservadora,147,74153.39,4.1196
Arbitraje agresivo,147,-30066.46,-0.3165
Servicios de regulacion,147,-26667.98,-0.9524
Hibrido certificado,147,-121247.45,-0.8661
Ventana conservadora,148,53146.59,2.9526
Arbitraje agresivo,148,-64163.57,-0.6754
Servicios de regulacion,148,-17771.88,-0.6347
Hibrido certificado,148,-86050.52,-0.6146
Ventana conservadora,149,39974.68,2.2208
Arbitraje agresivo,149,-23722.84,-0.2497
Servicios de regulacion,149,-14863.13,-0.5308
Hibrido certificado,149,-130390.68,-0.9314
Ventana conservadora,150,67082.76,3.7268
Arbitraje agresivo,150,-69625.14,-0.7329
Servicios de regulacion,150,-15013.42,-0.5362
Hibrido certificado,150,-62910.61,-0.4494
Ventana conservadora,151,63284.52,3.5158
Arbitraje agresivo,151,7214.61,0.0759
Servicios de regulacion,151,-19638.11,-0.7014
Hibrido certificado,151,-121409.48,-0.8672
Ventana conservadora,152,68428.08,3.8016
