transaction_id,date,month,quarter,channel,campaign_objective,customer_segment,lifecycle_stage,device,geo_region,ad_budget_level,campaign_daily_spend_usd,cost_attributed_usd,landing_variant,cta_variant,lead_magnet,checkout_simplified,webinar_invited,webinar_attended,new_product_offer,lead_score,converted_to_sale,days_to_close,aov_usd,revenue_usd,gross_margin_pct,gross_profit_usd,contribution_profit_usd
TX-000082,2024-01-05,2024-01,2024Q1,Email,launch,Ecommerce,known_lead,desktop,CO,organic_or_owned,47.53,0.87,baseline,standard,0,0,0,0,0,77,0,,0.0,0.0,0.767,0.0,-0.87
TX-000083,2024-01-05,2024-01,2024Q1,SEO / Blog,retargeting,Enterprise,returning_customer,mobile,ES,organic_or_owned,0.0,1.03,baseline,standard,0,0,0,0,0,90,0,,0.0,0.0,0.674,0.0,-1.03
TX-000084,2024-01-05,2024-01,2024Q1,Email,launch,B2B Services,known_lead,desktop,US Hispanic,organic_or_owned,0.0,0.56,baseline,standard,0,0,0,0,0,72,1,9,1083.76,1083.76,0.779,844.25,821.69
TX-000085,2024-01-05,2024-01,2024Q1,Email,evergreen,Creator,new_visitor,desktop,MX,organic_or_owned,23.6,0.71,baseline,standard,0,0,0,0,0,57,0,,0.0,0.0,0.773,0.0,-0.71
TX-000086,2024-01-05,2024-01,2024Q1,Facebook Ads,cold_acquisition,B2B Services,known_lead,desktop,US Hispanic,low,178.84,17.1,baseline,standard,0,0,0,0,0,57,0,,0.0,0.0,0.696,0.0,-17.1
TX-000087,2024-01-05,2024-01,2024Q1,TikTok Ads,cold_acquisition,B2B Services,known_lead,desktop,ES,low,172.97,8.36,baseline,standard,0,0,0,0,0,65,0,,0.0,0.0,0.657,0.0,-8.36
TX-000088,2024-01-05,2024-01,2024Q1,Email,launch,Creator,new_visitor,desktop,ES,organic_or_owned,0.0,0.76,baseline,standard,0,0,0,0,0,56,0,,0.0,0.0,0.759,0.0,-0.76
TX-000089,2024-01-05,2024-01,2024Q1,Google Ads,launch,B2B Services,new_visitor,desktop,CL,low,191.89,9.44,baseline,standard,0,0,0,0,0,73,0,,0.0,0.0,0.673,0.0,-9.44
TX-000090,2024-01-05,2024-01,2024Q1,TikTok Ads,cold_acquisition,SMB,new_visitor,mobile,ES,low,224.05,9.33,baseline,standard,0,0,0,0,0,39,0,,0.0,0.0,0.706,0.0,-9.33
TX-000091,2024-01-05,2024-01,2024Q1,Facebook Ads,cold_acquisition,B2B Services,known_lead,desktop,MX,low,190.44,12.63,baseline,standard,0,0,0,0,0,54,0,,0.0,0.0,0.702,0.0,-12.63
TX-000092,2024-01-05,2024-01,2024Q1,SEO / Blog,nurture,B2B Services,known_lead,tablet,AR,organic_or_owned,0.0,1.65,baseline,standard,0,0,0,0,0,64,0,,0.0,0.0,0.671,0.0,-1.65
TX-000093,2024-01-05,2024-01,2024Q1,Email,evergreen,B2B Services,new_visitor,desktop,CL,organic_or_owned,36.91,0.61,baseline,standard,0,0,0,0,0,61,0,,0.0,0.0,0.748,0.0,-0.61
TX-000094,2024-01-05,2024-01,2024Q1,Facebook Ads,evergreen,Ecommerce,new_visitor,mobile,ES,low,344.84,6.95,baseline,standard,0,0,0,0,0,44,0,,0.0,0.0,0.737,0.0,-6.95
TX-000095,2024-01-05,2024-01,2024Q1,Webinar,retargeting,Ecommerce,new_visitor,desktop,ES,organic_or_owned,0.0,6.6,baseline,standard,0,0,0,0,0,69,0,,0.0,0.0,0.746,0.0,-6.6
TX-000096,2024-01-05,2024-01,2024Q1,TikTok Ads,evergreen,SMB,new_visitor,desktop,AR,low,174.23,6.05,baseline,standard,0,0,0,0,0,41,0,,0.0,0.0,0.722,0.0,-6.05
TX-000097,2024-01-05,2024-01,2024Q1,Email,evergreen,Creator,known_lead,desktop,ES,organic_or_owned,37.54,0.69,baseline,standard,0,0,0,0,0,65,0,,0.0,0.0,0.744,0.0,-0.69
TX-000098,2024-01-05,2024-01,2024Q1,Google Ads,retargeting,B2B Services,known_lead,desktop,US Hispanic,low,186.16,9.18,baseline,standard,0,0,0,0,0,66,0,,0.0,0.0,0.727,0.0,-9.18
TX-000099,2024-01-06,2024-01,2024Q1,Google Ads,cold_acquisition,SMB,known_lead,mobile,ES,low,213.46,9.49,baseline,standard,0,0,0,0,0,59,0,,0.0,0.0,0.709,0.0,-9.49
TX-000100,2024-01-06,2024-01,2024Q1,Email,evergreen,Ecommerce,new_visitor,desktop,ES,organic_or_owned,25.31,0.62,baseline,standard,0,0,0,0,0,62,0,,0.0,0.0,0.828,0.0,-0.62
TX-000101,2024-01-06,2024-01,2024Q1,Facebook Ads,retargeting,Ecommerce,new_visitor,desktop,ES,low,338.42,6.27,baseline,standard,0,0,0,0,0,50,0,,0.0,0.0,0.668,0.0,-6.27
TX-000102,2024-01-06,2024-01,2024Q1,Facebook Ads,retargeting,Ecommerce,returning_customer,desktop,US Hispanic,low,280.0,11.71,baseline,standard,0,0,0,0,0,80,0,,0.0,0.0,0.734,0.0,-11.71
TX-000103,2024-01-06,2024-01,2024Q1,SEO / Blog,retargeting,Creator,new_visitor,desktop,CL,organic_or_owned,1.57,2.61,baseline,standard,0,0,0,0,0,42,0,,0.0,0.0,0.723,0.0,-2.61
TX-000104,2024-01-06,2024-01,2024Q1,Google Ads,launch,Enterprise,returning_customer,desktop,ES,low,169.32,9.05,baseline,standard,0,0,0,0,0,67,1,2,1554.86,1554.86,0.712,1107.06,1076.01
TX-000105,2024-01-06,2024-01,2024Q1,TikTok Ads,evergreen,Enterprise,new_visitor,desktop,US Hispanic,low,216.17,7.08,baseline,standard,0,0,0,0,0,49,0,,0.0,0.0,0.712,0.0,-7.08
TX-000106,2024-01-06,2024-01,2024Q1,Facebook Ads,retargeting,B2B Services,new_visitor,mobile,ES,low,266.17,16.95,baseline,standard,0,0,0,0,0,54,0,,0.0,0.0,0.654,0.0,-16.95
TX-000107,2024-01-06,2024-01,2024Q1,Facebook Ads,launch,SMB,new_visitor,desktop,CL,low,288.43,9.58,baseline,standard,0,0,0,0,0,40,0,,0.0,0.0,0.761,0.0,-9.58
TX-000108,2024-01-06,2024-01,2024Q1,SEO / Blog,evergreen,B2B Services,new_visitor,tablet,US Hispanic,organic_or_owned,0.0,1.56,baseline,standard,0,0,0,0,0,67,0,,0.0,0.0,0.755,0.0,-1.56
TX-000109,2024-01-06,2024-01,2024Q1,TikTok Ads,evergreen,SMB,returning_customer,desktop,CL,low,182.74,7.25,baseline,standard,0,0,0,0,0,53,0,,0.0,0.0,0.69,0.0,-7.25
TX-000110,2024-01-06,2024-01,2024Q1,Facebook Ads,retargeting,SMB,new_visitor,desktop,AR,low,322.05,12.94,baseline,standard,0,0,0,0,0,26,0,,0.0,0.0,0.743,0.0,-12.94
TX-000111,2024-01-06,2024-01,2024Q1,SEO / Blog,cold_acquisition,Creator,known_lead,desktop,AR,organic_or_owned,0.0,1.65,baseline,standard,0,0,0,0,0,72,0,,0.0,0.0,0.746,0.0,-1.65
TX-000112,2024-01-06,2024-01,2024Q1,Afiliados,launch,Ecommerce,returning_customer,desktop,ES,organic_or_owned,21.34,6.1,baseline,standard,0,0,0,0,0,57,0,,0.0,0.0,0.722,0.0,-6.1
TX-000113,2024-01-06,2024-01,2024Q1,Facebook Ads,cold_acquisition,B2B Services,known_lead,mobile,CO,low,328.25,8.96,baseline,standard,0,0,0,0,0,72,0,,0.0,0.0,0.731,0.0,-8.96
TX-000114,2024-01-06,2024-01,2024Q1,Google Ads,cold_acquisition,SMB,new_visitor,desktop,ES,low,283.49,8.18,baseline,standard,0,0,0,0,0,48,0,,0.0,0.0,0.763,0.0,-8.18
TX-000115,2024-01-06,2024-01,2024Q1,SEO / Blog,evergreen,B2B Services,new_visitor,desktop,ES,organic_or_owned,0.0,1.48,baseline,standard,0,0,0,0,0,66,0,,0.0,0.0,0.751,0.0,-1.48
TX-000116,2024-01-06,2024-01,2024Q1,Afiliados,evergreen,B2B Services,new_visitor,mobile,US Hispanic,organic_or_owned,36.31,8.89,baseline,standard,0,0,0,0,0,67,0,,0.0,0.0,0.747,0.0,-8.89
TX-000117,2024-01-06,2024-01,2024Q1,Facebook Ads,launch,SMB,known_lead,tablet,ES,low,218.72,7.5,baseline,standard,0,0,0,0,0,57,0,,0.0,0.0,0.709,0.0,-7.5
TX-000118,2024-01-06,2024-01,2024Q1,Google Ads,nurture,B2B Services,new_visitor,desktop,MX,low,287.52,14.82,baseline,standard,0,0,0,0,0,53,0,,0.0,0.0,0.727,0.0,-14.82
TX-000119,2024-01-06,2024-01,2024Q1,Facebook Ads,launch,Creator,returning_customer,mobile,MX,low,258.19,13.09,baseline,standard,0,0,0,0,0,70,0,,0.0,0.0,0.722,0.0,-13.09
TX-000120,2024-01-07,2024-01,2024Q1,TikTok Ads,evergreen,Enterprise,known_lead,desktop,ES,low,109.56,8.98,baseline,standard,0,0,0,0,0,65,0,,0.0,0.0,0.645,0.0,-8.98
TX-000121,2024-01-07,2024-01,2024Q1,SEO / Blog,cold_acquisition,Creator,returning_customer,mobile,ES,organic_or_owned,20.34,1.72,baseline,standard,0,0,0,0,0,73,0,,0.0,0.0,0.752,0.0,-1.72
TX-000122,2024-01-07,2024-01,2024Q1,Email,nurture,B2B Services,new_visitor,desktop,CL,organic_or_owned,0.0,0.63,baseline,standard,0,0,0,0,0,73,0,,0.0,0.0,0.827,0.0,-0.63
TX-000123,2024-01-07,2024-01,2024Q1,Email,launch,B2B Services,known_lead,desktop,ES,organic_or_owned,0.0,0.48,baseline,standard,0,0,0,0,0,99,0,,0.0,0.0,0.769,0.0,-0.48
